Name	Day	Start time	End time	Week pattern	Location	Room Size	Class Size	Staff	Department	Any Problems? as !
PHIU911.S/13	Thursday	17:05	17:55	"2-6, 8-12"	C.2B44	20	12		ARHLPH_Philosophy	
PHIU911.S/14	Friday	11:05	11:55	"2-6, 8-12"	C.2B38	28	12		ARHLPH_Philosophy	
PHIU911.S/15	Thursday	11:05	11:55	"2-6, 8-12"	C.3V2	34	12		ARHLPH_Philosophy	
PHIU911.S/16	Wednesday	09:05	09:55	"2-6, 8-12"	C.3X11	16	12		ARHLPH_Philosophy	
PHIU911.S/17	Monday	11:05	11:55	"2-6, 8-12"	P.D1	54	12		ARHLPH_Philosophy	
PHIU911.S/18	Wednesday	11:05	11:55	"2-6, 8-12"	C.2B76	30	12		ARHLPH_Philosophy	
PHIU911.S/19	Thursday	09:05	09:55	"2-6, 8-12"	C.4W2	24	12		ARHLPH_Philosophy	
PHIU911.S/20	Monday	11:05	11:55	"2-6, 8-12"	C.3V2	34	12		ARHLPH_Philosophy	
PHIU911.S/21	Monday	13:05	13:55	"2-6, 8-12"	C.4W4	24	12		ARHLPH_Philosophy	
PHIU911.S/22	Monday	09:05	09:55	"2-6, 8-12"	C.4B134	36	12	Simon Hope	ARHLPH_Philosophy	
PHIU911.S/23	Monday	12:05	12:55	"2-6, 8-12"	C.2B42	20	12		ARHLPH_Philosophy	
PHIU911.S/24	Tuesday	11:05	11:55	"2-6, 8-12"	C.2X6	32	12		ARHLPH_Philosophy	
PHIU911.S/25	Tuesday	12:05	12:55	"2-6, 8-12"	C.3V2	34	12		ARHLPH_Philosophy	
